time;vname;pose;bp0;bp1;bp2;bp3;bp4;bp5;bp6;bp7;bp8;bp9;bp10;bp11;bp12;bp13;bp14;bp15;bp16;bp17;bp18;bp19;bp20;bp21;bp22;bp23;bp24;bp25;bp26;bp27;bp28;bp29;bp30;bp31;bp32
0.42;videos/cuts_test/50wtf9.mp4;walk;(659.5, 166.19);(661.2, 155.35);(661.0, 155.34);(660.58, 155.27);(658.1, 152.89);(655.62, 151.08);(652.76, 149.15);(645.52, 152.54);(635.41, 144.33);(650.83, 174.81);(646.94, 172.21);(619.99, 213.97);(577.6, 157.97);(660.56, 263.62);(563.13, 74.2);(714.42, 292.03);(573.02, -7.27);(730.37, 294.62);(572.96, -32.5);(733.7, 292.17);(574.92, -44.88);(727.53, 292.78);(575.38, -36.54);(554.01, 332.94);(533.67, 326.53);(557.19, 446.43);(559.39, 447.76);(538.18, 556.6);(567.18, 558.4);(525.65, 575.11);(554.4, 577.02);(579.34, 596.03);(625.48, 602.71)
0.46;videos/cuts_test/50wtf9.mp4;walk;(660.29, 166.08);(662.17, 155.2);(662.03, 155.19);(661.65, 155.12);(659.02, 152.76);(656.57, 150.96);(653.73, 149.03);(647.18, 152.36);(637.14, 144.3);(651.94, 174.72);(648.04, 172.14);(621.84, 213.61);(578.98, 159.3);(673.08, 254.49);(563.96, 85.45);(728.89, 278.17);(579.33, 4.39);(740.89, 278.94);(583.72, -20.44);(742.87, 276.42);(591.23, -21.27);(737.66, 278.1);(590.13, -6.17);(554.83, 334.14);(537.47, 328.56);(554.99, 447.23);(565.16, 448.67);(529.78, 556.35);(573.28, 559.09);(524.48, 573.58);(565.57, 577.83);(563.92, 596.19);(623.57, 601.47)
0.5;videos/cuts_test/50wtf9.mp4;walk;(661.12, 165.3);(663.4, 154.64);(663.28, 154.67);(662.9, 154.65);(660.07, 152.09);(657.56, 150.29);(654.68, 148.41);(648.47, 152.23);(637.75, 143.88);(653.08, 173.51);(649.01, 171.13);(622.19, 208.79);(581.16, 161.36);(670.25, 237.08);(565.16, 104.37);(728.86, 261.75);(583.39, 30.73);(743.36, 262.6);(588.83, 13.28);(745.67, 260.73);(597.64, 11.11);(739.91, 262.09);(596.54, 21.46);(555.34, 336.22);(540.84, 332.23);(551.65, 447.79);(569.62, 449.34);(521.99, 556.32);(578.04, 559.84);(521.78, 572.53);(571.95, 578.72);(563.05, 586.4);(622.26, 599.65)
0.54;videos/cuts_test/50wtf9.mp4;walk;(661.82, 163.62);(663.92, 152.87);(663.77, 152.93);(663.39, 153.01);(660.6, 150.46);(658.13, 148.9);(655.31, 147.3);(649.43, 151.36);(638.54, 143.2);(653.75, 171.56);(649.75, 169.46);(624.47, 203.94);(581.6, 162.66);(673.69, 227.82);(565.67, 110.48);(735.05, 248.1);(590.58, 54.1);(748.3, 246.92);(598.23, 39.23);(750.3, 247.13);(606.19, 38.05);(745.35, 249.16);(605.64, 44.65);(555.39, 336.33);(542.31, 333.25);(549.03, 447.73);(571.49, 449.02);(518.16, 555.6);(580.84, 558.1);(521.28, 570.66);(576.28, 577.05);(561.51, 585.45);(621.51, 593.48)
0.58;videos/cuts_test/50wtf9.mp4;walk;(662.07, 163.52);(663.98, 152.47);(663.87, 152.53);(663.57, 152.61);(660.7, 150.24);(658.24, 148.72);(655.4, 147.13);(649.81, 150.98);(638.81, 142.8);(654.37, 171.29);(650.42, 169.18);(628.24, 202.9);(582.09, 163.32);(681.42, 225.6);(566.41, 118.67);(738.1, 237.39);(598.5, 70.03);(750.68, 232.59);(607.96, 57.96);(753.24, 231.25);(614.49, 56.12);(748.29, 234.67);(613.13, 61.22);(556.52, 336.9);(542.16, 334.25);(549.15, 447.74);(571.73, 449.35);(515.96, 554.55);(581.53, 558.04);(515.71, 569.21);(575.63, 576.87);(561.71, 585.37);(635.18, 588.88)
0.63;videos/cuts_test/50wtf9.mp4;walk;(661.96, 163.66);(664.33, 152.51);(664.35, 152.57);(664.23, 152.64);(661.03, 150.25);(658.59, 148.73);(655.78, 147.11);(651.08, 150.72);(639.78, 142.08);(654.2, 171.49);(650.33, 169.33);(627.89, 201.0);(583.95, 164.01);(678.23, 222.16);(568.48, 122.76);(735.81, 235.41);(607.06, 84.5);(750.0, 232.04);(618.09, 72.22);(752.55, 230.08);(623.86, 72.48);(747.09, 232.77);(621.76, 79.05);(556.19, 336.82);(543.72, 334.98);(549.19, 446.85);(573.74, 449.21);(510.7, 554.62);(582.59, 557.81);(510.87, 569.85);(575.7, 576.84);(560.35, 584.32);(642.91, 583.34)
0.67;videos/cuts_test/50wtf9.mp4;walk;(662.52, 165.3);(665.65, 154.25);(665.72, 154.22);(665.66, 154.13);(662.49, 151.98);(660.18, 150.41);(657.46, 148.69);(652.23, 150.77);(641.14, 142.46);(654.35, 173.13);(650.65, 170.95);(630.47, 200.36);(586.26, 164.21);(681.06, 225.94);(569.08, 125.71);(738.1, 239.66);(609.94, 80.58);(753.44, 236.7);(622.71, 70.17);(755.21, 234.65);(628.34, 70.13);(749.47, 237.19);(624.99, 76.43);(554.67, 335.58);(545.52, 334.82);(548.56, 446.57);(578.55, 449.05);(507.65, 554.67);(584.81, 559.2);(504.57, 570.06);(578.65, 578.51);(554.06, 585.14);(628.61, 584.42)
0.71;videos/cuts_test/50wtf9.mp4;walk;(664.4, 166.55);(667.34, 155.77);(667.43, 155.67);(667.42, 155.44);(664.21, 153.49);(661.95, 151.79);(659.17, 149.82);(653.34, 150.88);(642.75, 143.11);(655.64, 174.66);(651.91, 172.91);(632.64, 201.31);(586.92, 164.19);(683.07, 226.92);(570.02, 121.46);(743.18, 244.45);(606.98, 71.29);(759.95, 242.77);(618.47, 58.53);(763.42, 240.85);(625.03, 59.67);(756.85, 242.84);(622.48, 67.34);(554.87, 334.24);(545.07, 332.9);(548.77, 444.65);(577.17, 446.56);(507.48, 554.71);(585.43, 558.09);(501.07, 571.16);(579.23, 578.42);(550.38, 586.86);(632.0, 585.13)
0.75;videos/cuts_test/50wtf9.mp4;walk;(666.27, 168.63);(669.36, 158.21);(669.47, 158.09);(669.42, 157.79);(665.85, 155.79);(663.37, 153.96);(660.37, 151.82);(654.3, 152.65);(643.35, 145.48);(657.14, 177.56);(652.97, 175.7);(634.95, 208.56);(587.27, 165.99);(685.24, 234.39);(570.38, 119.26);(747.57, 250.46);(602.9, 70.76);(766.94, 251.92);(612.82, 46.02);(770.61, 248.54);(620.58, 56.33);(763.15, 248.88);(618.33, 63.28);(555.32, 334.11);(543.1, 331.99);(551.43, 444.08);(572.31, 445.42);(508.66, 554.1);(585.5, 557.98);(499.5, 571.21);(579.92, 578.41);(550.77, 589.44);(622.75, 585.37)
0.79;videos/cuts_test/50wtf9.mp4;walk;(668.77, 173.16);(672.03, 162.12);(671.93, 162.01);(671.63, 161.77);(668.94, 159.97);(666.38, 158.27);(663.26, 156.3);(655.71, 156.9);(645.76, 150.27);(659.55, 182.39);(655.57, 180.42);(636.63, 216.3);(588.14, 166.01);(690.04, 250.76);(571.91, 114.16);(752.52, 271.55);(599.55, 48.06);(773.06, 275.1);(608.55, 24.53);(776.86, 272.56);(617.45, 25.8);(769.97, 272.67);(615.29, 36.54);(556.77, 334.09);(540.04, 329.78);(558.8, 443.4);(564.35, 444.8);(529.87, 554.39);(564.03, 556.78);(514.79, 571.29);(556.4, 576.55);(572.63, 581.35);(611.66, 583.8)
0.83;videos/cuts_test/50wtf9.mp4;walk;(670.92, 178.19);(674.77, 167.5);(674.64, 167.51);(674.31, 167.37);(671.85, 165.08);(669.38, 163.26);(666.2, 161.01);(658.55, 163.07);(648.06, 154.45);(661.15, 187.45);(657.3, 185.18);(638.22, 224.7);(589.78, 166.64);(694.41, 272.14);(575.07, 107.21);(754.19, 297.12);(596.46, 28.91);(774.08, 300.97);(603.74, 4.58);(776.79, 297.2);(611.18, 3.2);(770.4, 296.86);(608.68, 12.05);(557.42, 334.08);(537.76, 328.43);(559.49, 443.45);(562.37, 444.34);(525.99, 554.26);(567.46, 556.66);(510.46, 571.45);(559.99, 575.97);(573.12, 578.82);(605.85, 581.82)
0.88;videos/cuts_test/50wtf9.mp4;walk;(672.52, 182.9);(676.23, 173.5);(676.15, 173.79);(675.88, 173.95);(673.28, 170.57);(670.67, 168.64);(667.65, 166.4);(661.77, 170.74);(650.33, 159.66);(662.81, 191.9);(658.78, 188.99);(640.19, 233.57);(590.91, 166.81);(692.35, 286.5);(579.3, 98.76);(751.07, 314.16);(596.35, 18.22);(770.29, 322.14);(600.45, -7.55);(772.82, 318.57);(605.25, -12.05);(766.64, 317.75);(604.25, -2.86);(557.51, 334.51);(535.11, 327.11);(560.92, 443.69);(558.68, 444.04);(527.47, 553.19);(560.67, 554.87);(510.15, 570.85);(548.33, 573.26);(576.83, 579.58);(590.75, 591.58)
0.92;videos/cuts_test/50wtf9.mp4;walk;(675.33, 188.98);(678.52, 179.48);(678.33, 179.78);(677.98, 179.96);(675.68, 176.5);(673.15, 174.54);(670.36, 172.41);(664.7, 176.85);(654.07, 165.21);(666.34, 197.26);(662.81, 193.57);(639.57, 237.0);(593.95, 166.77);(686.84, 292.56);(586.84, 95.04);(743.75, 330.27);(596.69, 5.37);(765.87, 342.1);(598.88, -17.0);(769.3, 337.95);(601.03, -20.39);(761.84, 335.4);(601.37, -15.12);(557.39, 334.48);(531.71, 324.96);(563.19, 443.82);(549.34, 444.34);(568.42, 553.2);(517.72, 554.22);(557.75, 572.4);(502.55, 575.97);(604.52, 578.67);(543.94, 602.39)
0.96;videos/cuts_test/50wtf9.mp4;walk;(678.33, 192.6);(681.18, 183.19);(680.93, 183.59);(680.52, 183.92);(678.03, 180.09);(675.5, 178.19);(672.7, 176.0);(667.42, 181.3);(656.73, 169.14);(669.47, 201.19);(665.85, 197.33);(638.73, 237.58);(598.19, 170.78);(678.39, 302.36);(594.75, 94.07);(733.21, 346.29);(602.4, 5.36);(752.76, 357.19);(601.33, -21.19);(757.08, 353.25);(602.1, -26.45);(749.42, 349.76);(603.39, -20.31);(557.32, 334.45);(532.13, 324.03);(563.89, 444.97);(550.13, 444.98);(567.62, 552.99);(516.15, 553.54);(547.85, 572.41);(501.16, 576.18);(605.64, 578.64);(545.6, 602.81)
1.0;videos/cuts_test/50wtf9.mp4;walk;(681.06, 197.24);(684.01, 187.23);(683.72, 187.5);(683.25, 187.69);(680.89, 184.15);(678.41, 182.22);(675.61, 180.0);(669.38, 183.8);(659.9, 172.93);(671.56, 205.26);(668.09, 201.78);(638.37, 238.09);(600.97, 173.1);(669.29, 306.79);(602.05, 92.74);(724.6, 357.56);(612.64, 3.53);(742.99, 367.08);(612.42, -25.11);(747.57, 364.18);(613.33, -30.3);(740.09, 361.26);(613.83, -22.27);(557.26, 334.36);(532.18, 323.81);(567.83, 445.69);(548.55, 446.6);(576.42, 553.04);(507.16, 555.05);(563.35, 574.29);(493.6, 576.48);(611.46, 579.18);(532.32, 605.57)
1.04;videos/cuts_test/50wtf9.mp4;walk;(681.9, 199.87);(685.27, 189.68);(685.01, 189.9);(684.58, 190.06);(682.43, 186.49);(680.13, 184.47);(677.39, 182.08);(670.77, 185.48);(662.0, 175.06);(672.1, 207.3);(668.66, 203.84);(637.99, 239.65);(603.76, 174.58);(663.66, 312.39);(608.27, 93.96);(718.5, 364.01);(623.18, 9.16);(735.61, 373.59);(624.54, -17.7);(740.11, 371.2);(626.66, -24.38);(732.89, 368.01);(626.4, -15.64);(557.58, 334.31);(532.06, 323.93);(571.54, 445.88);(546.8, 448.53);(579.72, 553.06);(503.84, 555.32);(569.96, 574.26);(493.51, 575.53);(611.13, 581.73);(522.27, 604.64)
1.08;videos/cuts_test/50wtf9.mp4;walk;(683.41, 203.36);(686.76, 193.26);(686.48, 193.27);(686.01, 193.2);(684.29, 190.32);(682.19, 188.21);(679.7, 185.86);(672.14, 188.13);(664.5, 178.6);(673.51, 210.03);(670.3, 206.8);(637.7, 239.83);(607.94, 177.09);(656.12, 314.65);(614.89, 94.84);(710.44, 367.14);(632.58, 11.05);(727.24, 377.61);(634.99, -12.7);(731.65, 375.81);(637.1, -18.01);(725.02, 372.29);(637.4, -9.26);(558.93, 334.0);(532.25, 323.87);(572.12, 446.06);(545.83, 449.86);(579.66, 553.69);(505.54, 555.34);(569.72, 574.64);(496.33, 573.46);(610.87, 583.43);(521.64, 603.85)
1.13;videos/cuts_test/50wtf9.mp4;walk;(685.19, 205.23);(688.33, 194.86);(687.98, 194.68);(687.42, 194.4);(686.12, 192.09);(684.14, 189.94);(681.79, 187.58);(673.01, 188.92);(666.29, 180.28);(674.94, 211.72);(672.01, 208.61);(637.56, 239.17);(610.87, 179.62);(651.41, 316.19);(619.91, 97.82);(702.4, 371.11);(644.08, 18.63);(716.99, 382.57);(647.08, -2.63);(720.9, 380.5);(649.71, -6.59);(715.42, 377.11);(649.06, 3.92);(559.1, 333.82);(532.39, 323.79);(572.43, 446.08);(546.76, 450.42);(578.92, 554.15);(505.39, 555.27);(568.17, 575.07);(497.19, 571.08);(609.03, 585.3);(526.0, 601.23)
1.17;videos/cuts_test/50wtf9.mp4;walk;(685.71, 206.7);(689.12, 196.53);(688.83, 196.23);(688.35, 195.8);(686.99, 194.04);(685.15, 191.95);(682.93, 189.58);(674.57, 190.33);(667.62, 182.21);(675.56, 212.89);(672.58, 209.98);(637.45, 237.79);(615.34, 182.1);(643.1, 315.52);(632.76, 96.39);(687.01, 376.53);(666.12, 19.34);(699.75, 391.01);(674.03, -2.37);(703.17, 389.86);(676.86, -6.55);(698.54, 385.62);(674.73, 4.3);(559.05, 333.48);(532.43, 323.75);(574.48, 445.82);(547.83, 450.38);(580.3, 554.59);(505.93, 555.28);(566.25, 575.94);(498.59, 570.92);(609.58, 585.38);(526.18, 600.03)
1.21;videos/cuts_test/50wtf9.mp4;walk;(684.89, 209.91);(689.16, 199.15);(689.0, 198.75);(688.67, 198.24);(687.03, 196.73);(685.26, 194.57);(683.15, 192.12);(675.93, 191.3);(669.32, 183.56);(674.84, 215.25);(671.76, 212.05);(637.31, 236.95);(620.31, 183.34);(630.37, 312.45);(643.07, 96.79);(659.63, 382.12);(684.25, 26.87);(667.43, 400.33);(695.9, 5.93);(670.67, 401.03);(702.35, 5.29);(666.16, 395.63);(699.82, 13.83);(558.25, 333.16);(532.51, 323.36);(574.46, 445.83);(547.92, 448.35);(579.75, 554.93);(508.36, 554.8);(565.19, 577.05);(500.72, 569.68);(612.33, 584.97);(529.48, 592.06)
1.25;videos/cuts_test/50wtf9.mp4;walk;(686.69, 210.66);(691.23, 200.03);(691.12, 199.78);(690.83, 199.48);(689.19, 197.49);(687.51, 195.36);(685.5, 192.96);(677.99, 193.19);(671.9, 185.03);(676.35, 216.81);(673.46, 213.32);(637.5, 240.49);(624.76, 182.67);(615.92, 314.98);(662.62, 98.0);(626.77, 391.07);(720.06, 32.82);(631.88, 409.71);(736.77, 14.04);(636.44, 410.29);(741.44, 13.91);(632.62, 404.37);(736.02, 21.72);(558.23, 333.18);(532.13, 323.37);(575.72, 445.53);(547.03, 445.37);(580.62, 554.36);(509.11, 553.72);(568.17, 576.79);(503.97, 569.2);(613.12, 584.55);(529.13, 587.97)
1.29;videos/cuts_test/50wtf9.mp4;walk;(688.26, 216.06);(694.01, 206.15);(694.03, 206.19);(693.91, 206.15);(691.79, 203.0);(690.01, 200.74);(687.97, 198.27);(682.76, 199.58);(675.15, 189.19);(678.1, 222.14);(675.16, 218.34);(639.69, 240.32);(631.87, 185.96);(603.08, 314.57);(689.57, 103.05);(588.68, 388.37);(753.77, 54.7);(582.55, 408.42);(772.91, 42.94);(584.28, 412.05);(778.53, 44.7);(585.68, 405.23);(771.36, 51.46);(558.15, 333.21);(531.6, 323.39);(575.85, 444.52);(544.03, 444.69);(577.45, 552.3);(526.84, 550.32);(564.27, 572.77);(521.1, 566.69);(610.61, 583.48);(557.16, 586.14)
1.33;videos/cuts_test/50wtf9.mp4;walk;(692.02, 219.23);(697.77, 210.09);(697.82, 210.16);(697.74, 210.14);(695.46, 206.74);(693.68, 204.4);(691.71, 201.98);(686.78, 202.82);(679.22, 193.44);(682.76, 224.08);(679.9, 220.34);(646.77, 226.5);(638.18, 185.4);(705.79, 173.55);(706.08, 121.29);(758.78, 139.72);(779.82, 87.13);(777.63, 131.14);(803.03, 82.36);(783.53, 126.5);(806.2, 83.54);(778.49, 128.3);(798.32, 87.04);(557.65, 333.04);(531.29, 323.04);(576.42, 443.94);(542.33, 441.01);(576.4, 552.19);(532.26, 549.32);(562.35, 570.63);(526.5, 564.41);(609.75, 583.17);(564.07, 583.09)
1.38;videos/cuts_test/50wtf9.mp4;walk;(695.42, 223.11);(700.15, 214.57);(700.12, 214.54);(699.97, 214.39);(698.29, 211.9);(696.86, 209.98);(695.25, 207.99);(688.98, 208.29);(683.45, 201.1);(687.29, 226.98);(685.05, 223.9);(648.23, 226.07);(641.63, 194.43);(717.59, 190.43);(715.02, 154.1);(783.55, 162.75);(795.44, 131.64);(798.92, 151.0);(817.03, 128.37);(806.19, 147.89);(819.91, 127.73);(802.38, 149.51);(813.14, 130.48);(555.18, 333.73);(529.45, 323.93);(575.95, 443.97);(539.75, 443.8);(574.86, 552.22);(532.59, 549.55);(561.63, 569.95);(525.96, 564.82);(608.96, 583.21);(562.77, 583.22)
1.42;videos/cuts_test/50wtf9.mp4;walk;(694.88, 231.4);(698.91, 222.98);(698.74, 222.68);(698.47, 222.28);(697.71, 221.2);(696.68, 219.7);(695.58, 218.11);(687.36, 215.33);(685.46, 210.84);(686.76, 233.8);(685.87, 231.58);(639.93, 226.26);(651.22, 205.91);(561.54, 232.93);(724.14, 181.93);(518.93, 307.5);(808.4, 171.28);(502.62, 320.82);(828.13, 168.48);(504.53, 323.69);(829.09, 165.5);(511.75, 318.58);(821.93, 168.18);(547.13, 334.21);(529.5, 327.02);(569.9, 445.66);(539.86, 447.67);(576.06, 553.17);(536.37, 553.45);(566.18, 571.82);(525.35, 584.31);(614.16, 583.36);(570.49, 594.73)
1.46;videos/cuts_test/50wtf9.mp4;walk;(695.61, 234.88);(699.2, 225.13);(698.41, 223.98);(697.7, 222.72);(700.86, 225.21);(701.19, 224.31);(701.51, 223.36);(686.72, 214.14);(693.02, 216.05);(686.37, 235.75);(688.64, 235.67);(615.15, 223.5);(670.17, 219.69);(537.46, 242.2);(749.55, 215.54);(478.91, 301.38);(820.65, 216.61);(459.99, 314.77);(840.15, 213.07);(460.96, 313.7);(841.93, 208.98);(469.09, 310.09);(836.05, 211.14);(530.2, 333.53);(539.48, 333.66);(550.73, 449.4);(544.68, 464.22);(554.24, 554.85);(559.52, 559.24);(544.87, 572.95);(549.3, 584.68);(596.55, 583.1);(589.28, 596.29)
1.5;videos/cuts_test/50wtf9.mp4;walk;(697.86, 232.41);(701.0, 222.25);(699.6, 220.98);(698.29, 219.73);(704.26, 222.88);(705.08, 222.16);(705.79, 221.49);(687.16, 212.49);(696.5, 215.67);(687.04, 233.9);(690.96, 234.76);(609.94, 217.44);(678.82, 231.22);(531.31, 231.69);(755.85, 237.27);(464.29, 255.14);(829.98, 247.31);(446.07, 262.93);(851.74, 244.19);(446.08, 266.61);(853.59, 239.54);(452.37, 266.44);(847.0, 242.04);(522.24, 331.54);(542.95, 334.25);(542.56, 449.21);(556.89, 460.98);(531.82, 553.04);(576.54, 560.31);(525.82, 571.9);(561.01, 583.39);(574.08, 574.16);(618.1, 586.3)
1.54;videos/cuts_test/50wtf9.mp4;walk;(702.01, 235.86);(705.5, 225.17);(704.11, 223.68);(702.69, 222.16);(708.04, 226.13);(708.44, 225.41);(708.71, 224.63);(690.27, 215.3);(697.66, 218.2);(689.37, 238.29);(692.97, 239.42);(602.62, 213.12);(675.88, 238.2);(524.03, 210.11);(753.69, 257.61);(456.05, 215.35);(831.56, 275.23);(439.86, 220.11);(852.72, 274.91);(440.32, 222.9);(853.63, 269.94);(445.78, 222.83);(847.36, 271.68);(517.75, 327.02);(542.53, 332.93);(541.38, 448.58);(556.0, 455.67);(536.3, 552.87);(569.63, 560.43);(528.52, 571.5);(554.03, 582.39);(580.24, 575.19);(606.52, 589.34)
