time;vname;pose;bp0;bp1;bp2;bp3;bp4;bp5;bp6;bp7;bp8;bp9;bp10;bp11;bp12;bp13;bp14;bp15;bp16;bp17;bp18;bp19;bp20;bp21;bp22;bp23;bp24;bp25;bp26;bp27;bp28;bp29;bp30;bp31;bp32
0.33;videos/cuts_train/fall01.mp4;walk;(207.27, 61.99);(208.5, 59.55);(209.47, 59.45);(210.36, 59.38);(205.82, 59.77);(205.18, 59.79);(204.4, 59.82);(211.84, 60.1);(203.75, 60.81);(209.2, 64.15);(206.01, 64.37);(221.15, 73.98);(198.07, 77.27);(226.93, 91.52);(194.95, 94.98);(229.26, 106.65);(190.42, 109.94);(230.26, 111.97);(188.45, 114.43);(229.02, 111.7);(188.57, 114.58);(228.06, 110.15);(189.9, 113.13);(218.56, 109.18);(204.72, 110.27);(222.86, 135.21);(206.28, 135.07);(226.08, 155.7);(207.63, 155.92);(224.81, 158.56);(209.48, 158.32);(229.54, 162.08);(203.84, 161.17)
0.37;videos/cuts_train/fall01.mp4;walk;(207.08, 62.02);(208.25, 59.57);(209.22, 59.46);(210.1, 59.39);(205.58, 59.84);(204.96, 59.88);(204.24, 59.94);(211.63, 60.09);(203.6, 60.92);(209.1, 64.16);(205.84, 64.4);(221.12, 74.04);(198.01, 77.27);(226.69, 91.51);(194.76, 94.96);(228.94, 106.64);(190.12, 109.94);(229.78, 111.92);(188.17, 114.42);(228.69, 111.63);(188.24, 114.63);(227.75, 110.08);(189.69, 113.19);(218.43, 109.22);(204.58, 110.38);(222.21, 135.15);(206.32, 135.07);(224.82, 145.25);(207.43, 155.89);(224.67, 144.9);(209.26, 158.23);(227.04, 153.85);(203.84, 161.26)
0.4;videos/cuts_train/fall01.mp4;walk;(206.97, 62.05);(208.1, 59.59);(209.06, 59.47);(209.94, 59.39);(205.44, 59.9);(204.8, 59.96);(204.12, 60.04);(211.49, 60.09);(203.49, 61.02);(209.04, 64.17);(205.75, 64.46);(221.06, 74.06);(197.97, 77.3);(226.33, 91.49);(194.42, 94.95);(228.51, 106.55);(189.46, 109.9);(229.27, 111.71);(187.36, 114.3);(228.38, 111.4);(187.5, 114.62);(227.46, 109.9);(188.93, 113.19);(218.36, 109.34);(204.55, 110.52);(221.6, 135.11);(206.54, 135.12);(222.19, 152.98);(207.43, 155.86);(221.51, 152.86);(209.24, 158.07);(223.56, 161.51);(205.41, 163.75)
0.43;videos/cuts_train/fall01.mp4;walk;(206.97, 62.07);(208.09, 59.62);(209.04, 59.5);(209.9, 59.43);(205.46, 59.93);(204.78, 59.99);(204.13, 60.07);(211.39, 60.1);(203.47, 61.05);(209.01, 64.17);(205.74, 64.48);(220.93, 74.14);(197.91, 77.3);(225.93, 91.49);(194.17, 94.95);(228.19, 106.52);(189.24, 109.95);(228.94, 111.62);(186.88, 114.34);(228.06, 111.3);(186.97, 114.63);(227.11, 109.81);(188.49, 113.21);(218.31, 109.4);(204.51, 110.59);(221.33, 135.01);(206.58, 135.13);(222.5, 147.31);(207.44, 155.78);(221.86, 147.66);(209.27, 157.92);(224.28, 156.05);(205.87, 164.35)
0.47;videos/cuts_train/fall01.mp4;walk;(207.08, 62.09);(208.2, 59.66);(209.13, 59.55);(209.98, 59.47);(205.58, 59.96);(204.87, 60.03);(204.22, 60.11);(211.35, 60.16);(203.51, 61.11);(209.08, 64.18);(205.83, 64.51);(220.89, 74.31);(197.73, 77.35);(225.74, 91.57);(193.71, 94.99);(228.03, 106.5);(188.8, 110.13);(228.65, 111.57);(186.34, 114.42);(227.66, 111.21);(186.52, 114.63);(226.73, 109.74);(188.03, 113.23);(218.21, 109.73);(204.46, 110.8);(220.41, 135.01);(206.61, 135.15);(220.36, 154.48);(207.51, 155.82);(219.41, 156.58);(209.27, 157.97);(222.12, 161.39);(206.67, 165.13)
0.5;videos/cuts_train/fall01.mp4;walk;(207.1, 62.09);(208.27, 59.66);(209.21, 59.56);(210.07, 59.48);(205.63, 59.96);(204.94, 60.03);(204.29, 60.11);(211.38, 60.16);(203.58, 61.13);(209.09, 64.19);(205.9, 64.52);(220.89, 74.5);(197.81, 77.35);(225.66, 91.64);(193.37, 94.97);(228.1, 106.5);(188.16, 110.11);(228.79, 111.57);(185.67, 114.35);(227.75, 111.21);(185.84, 114.51);(226.82, 109.75);(187.29, 113.16);(218.14, 109.83);(204.48, 110.88);(219.6, 134.7);(206.6, 134.98);(218.82, 154.47);(207.68, 155.66);(217.54, 156.54);(209.32, 157.78);(221.46, 161.41);(206.32, 162.81)
0.53;videos/cuts_train/fall01.mp4;walk;(207.12, 62.1);(208.32, 59.67);(209.26, 59.56);(210.13, 59.47);(205.66, 59.96);(204.99, 60.03);(204.34, 60.11);(211.45, 60.16);(203.63, 61.13);(209.14, 64.2);(206.0, 64.53);(220.91, 74.56);(197.89, 77.28);(225.68, 91.69);(192.31, 94.79);(228.13, 106.52);(187.3, 110.07);(228.84, 111.6);(184.69, 114.3);(227.85, 111.23);(185.01, 114.43);(227.0, 109.78);(186.45, 113.1);(218.08, 109.88);(204.5, 110.91);(219.44, 134.7);(206.6, 134.95);(218.69, 154.74);(207.84, 155.53);(217.21, 156.74);(209.49, 157.62);(220.98, 161.67);(206.13, 162.26)
0.57;videos/cuts_train/fall01.mp4;walk;(207.2, 62.1);(208.38, 59.64);(209.31, 59.54);(210.16, 59.46);(205.76, 59.93);(205.05, 60.0);(204.37, 60.09);(211.48, 60.16);(203.64, 61.13);(209.25, 64.21);(206.15, 64.53);(220.93, 74.78);(197.92, 77.28);(225.72, 91.74);(191.74, 94.65);(228.41, 106.6);(186.96, 109.94);(229.09, 111.7);(184.41, 114.15);(228.05, 111.35);(184.82, 114.27);(227.25, 109.99);(186.23, 112.95);(218.05, 109.97);(204.51, 111.03);(219.25, 134.72);(206.57, 134.95);(218.43, 154.69);(208.15, 155.38);(217.08, 156.68);(209.89, 157.5);(220.79, 161.69);(205.72, 161.93)
0.6;videos/cuts_train/fall01.mp4;walk;(207.31, 62.06);(208.51, 59.58);(209.45, 59.48);(210.26, 59.41);(205.92, 59.87);(205.19, 59.95);(204.48, 60.04);(211.61, 60.16);(203.76, 61.13);(209.42, 64.21);(206.32, 64.53);(221.14, 74.84);(197.96, 77.26);(225.78, 91.89);(191.54, 94.39);(228.95, 106.76);(186.69, 109.55);(229.62, 111.88);(184.17, 113.69);(228.39, 111.55);(184.68, 113.73);(227.61, 110.27);(186.05, 112.44);(218.07, 109.99);(204.53, 111.07);(218.88, 134.89);(206.46, 135.0);(218.45, 155.04);(208.2, 155.28);(217.27, 157.02);(210.05, 157.42);(220.54, 162.23);(206.31, 163.92)
0.63;videos/cuts_train/fall01.mp4;walk;(207.81, 62.01);(208.94, 59.5);(209.86, 59.4);(210.58, 59.32);(206.38, 59.81);(205.62, 59.91);(204.9, 60.01);(212.02, 60.13);(204.14, 61.12);(209.94, 64.21);(206.88, 64.54);(221.53, 74.84);(198.22, 77.12);(225.84, 92.03);(191.67, 93.8);(229.14, 106.87);(186.76, 108.63);(229.85, 112.1);(184.33, 112.81);(228.52, 111.9);(184.93, 112.94);(227.76, 110.67);(186.23, 111.71);(218.04, 110.01);(204.54, 111.07);(218.03, 134.94);(205.98, 134.99);(218.28, 155.26);(208.19, 155.27);(217.37, 157.38);(210.11, 157.42);(220.23, 162.62);(204.62, 162.7)
0.67;videos/cuts_train/fall01.mp4;walk;(208.3, 61.98);(209.4, 59.46);(210.28, 59.35);(210.94, 59.27);(206.87, 59.76);(206.08, 59.87);(205.35, 59.97);(212.49, 60.09);(204.56, 61.11);(210.4, 64.2);(207.39, 64.53);(221.88, 74.83);(198.55, 76.91);(226.03, 92.13);(191.89, 93.52);(229.54, 107.06);(186.95, 108.16);(230.26, 112.41);(184.46, 112.31);(228.92, 112.28);(185.05, 112.52);(228.21, 111.09);(186.34, 111.32);(218.01, 110.0);(204.54, 111.0);(217.96, 134.9);(205.84, 134.76);(218.24, 155.31);(208.11, 155.25);(217.43, 157.48);(210.11, 157.43);(220.0, 162.72);(203.95, 162.16)
0.7;videos/cuts_train/fall01.mp4;walk;(208.82, 61.95);(209.92, 59.41);(210.74, 59.3);(211.39, 59.21);(207.44, 59.73);(206.63, 59.84);(205.89, 59.96);(213.05, 60.04);(205.15, 61.11);(210.83, 64.2);(207.94, 64.53);(222.19, 74.82);(198.98, 76.63);(226.05, 92.25);(192.0, 93.04);(229.89, 107.06);(187.09, 107.72);(230.74, 112.48);(184.6, 111.94);(229.51, 112.43);(185.25, 112.15);(228.81, 111.21);(186.51, 110.93);(217.91, 109.98);(204.55, 110.82);(217.78, 134.9);(205.84, 134.75);(218.25, 155.88);(208.0, 155.37);(217.38, 158.27);(210.04, 157.81);(220.08, 163.09);(203.65, 162.07)
0.73;videos/cuts_train/fall01.mp4;walk;(209.4, 61.97);(210.58, 59.43);(211.32, 59.32);(212.02, 59.22);(208.17, 59.73);(207.35, 59.84);(206.6, 59.95);(213.62, 60.05);(205.87, 61.1);(211.25, 64.22);(208.44, 64.54);(222.52, 74.89);(199.4, 76.54);(226.24, 92.27);(192.01, 92.68);(230.56, 107.04);(187.08, 107.27);(231.43, 112.51);(184.77, 111.54);(230.26, 112.48);(185.37, 111.58);(229.58, 111.21);(186.63, 110.28);(217.87, 110.0);(204.62, 110.79);(217.82, 134.93);(205.85, 134.74);(218.17, 156.47);(207.9, 155.57);(217.21, 159.02);(209.87, 158.27);(220.14, 163.55);(203.5, 162.07)
0.77;videos/cuts_train/fall01.mp4;walk;(210.02, 61.95);(211.24, 59.4);(211.95, 59.29);(212.7, 59.19);(208.86, 59.68);(208.03, 59.78);(207.24, 59.88);(214.27, 60.02);(206.53, 61.06);(211.79, 64.22);(209.02, 64.53);(222.97, 74.9);(199.94, 76.36);(227.11, 92.24);(192.19, 92.38);(231.04, 106.99);(187.22, 106.79);(231.84, 112.52);(185.0, 110.95);(230.73, 112.5);(185.64, 110.94);(230.13, 111.2);(186.8, 109.67);(217.96, 109.99);(205.01, 110.69);(217.9, 135.04);(205.98, 134.76);(218.23, 156.88);(207.83, 155.79);(217.22, 159.51);(209.77, 158.72);(220.23, 163.96);(203.47, 162.23)
0.8;videos/cuts_train/fall01.mp4;walk;(210.68, 61.86);(211.94, 59.33);(212.68, 59.24);(213.45, 59.16);(209.57, 59.53);(208.71, 59.6);(207.88, 59.68);(214.86, 60.01);(207.01, 60.92);(212.31, 64.19);(209.57, 64.47);(223.36, 74.92);(200.2, 76.23);(228.14, 92.23);(192.42, 92.21);(231.48, 107.39);(187.27, 106.37);(232.17, 113.05);(185.26, 110.53);(231.07, 113.03);(186.02, 110.42);(230.51, 111.73);(187.08, 109.07);(218.23, 109.9);(205.45, 110.55);(217.8, 135.17);(206.07, 134.79);(218.2, 156.96);(207.84, 155.79);(217.25, 159.49);(209.76, 158.72);(220.09, 164.1);(203.56, 162.25)
0.83;videos/cuts_train/fall01.mp4;walk;(211.2, 61.85);(212.51, 59.33);(213.31, 59.24);(214.1, 59.16);(210.13, 59.5);(209.27, 59.55);(208.41, 59.62);(215.54, 60.02);(207.57, 60.84);(212.81, 64.2);(210.06, 64.47);(223.82, 74.96);(200.53, 76.06);(228.71, 92.27);(193.13, 92.12);(231.74, 108.12);(188.4, 106.31);(232.43, 113.56);(186.42, 110.44);(231.31, 113.49);(187.19, 110.31);(230.72, 112.21);(188.42, 108.93);(218.51, 109.6);(205.68, 110.26);(217.86, 134.99);(206.15, 134.78);(218.29, 156.83);(208.32, 155.51);(217.3, 159.43);(210.13, 158.41);(220.17, 164.02);(205.69, 164.48)
0.87;videos/cuts_train/fall01.mp4;walk;(211.56, 61.86);(212.92, 59.35);(213.74, 59.27);(214.55, 59.21);(210.51, 59.5);(209.64, 59.54);(208.78, 59.59);(216.01, 60.05);(207.93, 60.76);(213.16, 64.23);(210.36, 64.48);(224.27, 74.98);(200.89, 75.83);(229.25, 92.37);(193.65, 92.0);(232.01, 108.54);(189.27, 106.26);(232.65, 113.94);(187.34, 110.36);(231.47, 113.85);(188.08, 110.16);(230.88, 112.52);(189.4, 108.75);(218.74, 109.51);(205.73, 110.07);(217.93, 134.9);(206.15, 134.78);(218.35, 156.47);(208.35, 155.33);(217.36, 158.81);(210.14, 158.03);(220.23, 163.58);(205.55, 162.85)
0.9;videos/cuts_train/fall01.mp4;walk;(211.83, 61.83);(213.22, 59.34);(214.06, 59.27);(214.89, 59.21);(210.82, 59.44);(209.98, 59.45);(209.14, 59.48);(216.38, 60.05);(208.39, 60.58);(213.43, 64.23);(210.66, 64.47);(224.47, 74.98);(201.35, 75.63);(229.83, 92.37);(193.94, 91.69);(232.14, 108.91);(190.0, 106.21);(232.77, 114.24);(188.32, 110.36);(231.54, 114.14);(189.33, 110.03);(230.94, 112.76);(190.58, 108.62);(218.8, 109.45);(205.78, 109.85);(217.93, 134.77);(205.99, 134.72);(218.22, 156.07);(207.96, 155.02);(217.28, 158.42);(209.8, 157.75);(220.1, 163.19);(203.6, 161.96)
0.93;videos/cuts_train/fall01.mp4;walk;(211.97, 61.76);(213.44, 59.29);(214.28, 59.24);(215.13, 59.19);(210.99, 59.28);(210.13, 59.26);(209.27, 59.25);(216.58, 60.04);(208.52, 60.27);(213.58, 64.21);(210.74, 64.37);(224.45, 74.9);(201.47, 75.56);(229.9, 92.34);(194.22, 91.79);(232.21, 108.92);(190.04, 106.45);(232.86, 114.28);(188.54, 110.38);(231.66, 114.22);(189.41, 110.08);(231.06, 112.81);(190.66, 108.68);(218.97, 109.46);(205.8, 109.8);(217.96, 134.79);(205.45, 134.76);(218.12, 155.97);(207.26, 154.76);(217.13, 158.31);(209.12, 157.41);(219.98, 163.05);(202.07, 161.57)
0.97;videos/cuts_train/fall01.mp4;walk;(212.04, 61.53);(213.56, 59.08);(214.38, 59.06);(215.24, 59.03);(211.08, 59.03);(210.22, 59.0);(209.38, 58.99);(216.68, 59.94);(208.65, 60.0);(213.68, 64.06);(210.82, 64.13);(224.5, 74.78);(201.61, 75.46);(229.79, 92.3);(194.75, 91.82);(232.14, 109.01);(190.62, 106.76);(232.79, 114.36);(189.43, 110.6);(231.59, 114.29);(190.32, 110.31);(230.98, 112.9);(191.6, 108.93);(219.06, 109.46);(205.8, 109.7);(217.99, 134.87);(205.43, 134.76);(218.16, 155.95);(207.0, 154.64);(217.13, 158.29);(208.69, 157.32);(220.0, 163.05);(201.73, 161.45)
1.0;videos/cuts_train/fall01.mp4;walk;(212.12, 61.36);(213.67, 58.91);(214.47, 58.9);(215.33, 58.9);(211.2, 58.82);(210.33, 58.77);(209.49, 58.75);(216.74, 59.85);(208.74, 59.72);(213.76, 63.93);(210.9, 63.96);(224.58, 74.67);(201.62, 75.34);(229.82, 92.15);(195.31, 91.88);(232.15, 108.97);(191.62, 107.07);(232.81, 114.32);(190.44, 110.83);(231.59, 114.24);(191.47, 110.59);(230.94, 112.84);(192.81, 109.26);(219.06, 109.46);(205.8, 109.6);(218.04, 134.94);(205.37, 134.76);(218.15, 155.94);(206.66, 154.52);(217.01, 158.3);(208.27, 157.26);(220.01, 163.05);(201.59, 161.44)
1.03;videos/cuts_train/fall01.mp4;walk;(212.17, 61.18);(213.74, 58.75);(214.54, 58.75);(215.39, 58.76);(211.23, 58.63);(210.34, 58.57);(209.51, 58.54);(216.76, 59.72);(208.71, 59.5);(213.81, 63.8);(210.89, 63.81);(224.52, 74.57);(201.59, 75.17);(229.71, 92.0);(195.61, 91.91);(232.12, 108.91);(192.12, 107.28);(232.75, 114.28);(191.19, 111.1);(231.55, 114.19);(192.35, 110.91);(230.89, 112.79);(193.58, 109.63);(219.06, 109.42);(205.79, 109.45);(218.05, 134.94);(205.3, 134.73);(218.17, 156.03);(206.7, 154.55);(216.98, 158.52);(208.24, 157.34);(220.26, 163.08);(201.22, 161.46)
1.07;videos/cuts_train/fall01.mp4;walk;(212.14, 61.04);(213.73, 58.62);(214.51, 58.62);(215.37, 58.62);(211.17, 58.49);(210.26, 58.43);(209.45, 58.4);(216.74, 59.55);(208.63, 59.33);(213.81, 63.69);(210.82, 63.7);(224.48, 74.32);(201.6, 75.0);(229.67, 91.73);(196.07, 91.95);(232.11, 108.89);(193.01, 107.34);(232.6, 114.19);(192.26, 111.19);(231.53, 114.11);(193.55, 110.95);(230.87, 112.72);(194.7, 109.68);(219.05, 109.34);(205.79, 109.28);(218.08, 134.87);(205.29, 134.65);(218.23, 156.02);(206.73, 154.55);(217.0, 158.51);(208.31, 157.5);(220.4, 162.98);(201.07, 161.55)
1.1;videos/cuts_train/fall01.mp4;walk;(212.11, 60.81);(213.64, 58.4);(214.42, 58.41);(215.27, 58.4);(211.13, 58.3);(210.21, 58.25);(209.38, 58.22);(216.66, 59.32);(208.55, 59.14);(213.75, 63.48);(210.75, 63.51);(224.45, 74.06);(201.57, 74.74);(229.62, 91.44);(196.64, 91.95);(231.87, 108.47);(193.78, 107.71);(232.23, 113.7);(193.18, 111.73);(231.39, 113.68);(194.51, 111.49);(230.69, 112.3);(195.5, 110.21);(218.91, 109.11);(205.64, 108.9);(218.09, 134.82);(205.14, 134.63);(218.28, 156.04);(206.77, 154.62);(217.02, 158.58);(208.35, 157.63);(220.47, 163.02);(201.22, 161.88)
1.13;videos/cuts_train/fall01.mp4;walk;(211.98, 60.46);(213.61, 58.08);(214.37, 58.1);(215.22, 58.1);(210.92, 58.01);(210.04, 57.98);(209.18, 57.99);(216.6, 59.06);(208.32, 58.95);(213.74, 63.22);(210.45, 63.26);(224.44, 73.82);(201.55, 74.62);(229.6, 91.27);(196.9, 91.97);(231.5, 108.12);(194.69, 108.32);(231.81, 113.21);(194.3, 112.53);(231.09, 113.24);(195.46, 112.27);(230.29, 111.91);(196.22, 110.96);(218.83, 108.83);(205.49, 108.57);(218.1, 134.8);(205.05, 134.6);(218.41, 156.5);(206.78, 155.12);(217.11, 159.2);(208.31, 158.04);(220.48, 163.74);(201.4, 162.58)
1.17;videos/cuts_train/fall01.mp4;walk;(211.78, 60.14);(213.48, 57.73);(214.32, 57.73);(215.12, 57.73);(210.68, 57.73);(209.83, 57.72);(208.96, 57.75);(216.47, 58.7);(208.12, 58.71);(213.65, 62.93);(210.22, 63.04);(224.16, 73.6);(201.46, 74.55);(229.42, 90.99);(197.26, 91.97);(231.03, 107.82);(195.03, 108.45);(231.44, 112.82);(194.58, 112.86);(230.61, 112.8);(195.68, 112.59);(229.74, 111.52);(196.4, 111.21);(218.63, 108.65);(205.23, 108.39);(218.1, 134.73);(205.04, 134.51);(218.47, 156.54);(206.77, 155.35);(217.11, 159.25);(208.24, 158.31);(220.5, 164.0);(201.49, 163.21)
1.2;videos/cuts_train/fall01.mp4;walk;(211.3, 59.9);(213.05, 57.51);(214.0, 57.5);(214.82, 57.51);(210.2, 57.51);(209.36, 57.51);(208.49, 57.55);(216.04, 58.52);(207.71, 58.5);(213.24, 62.73);(209.69, 62.84);(223.68, 73.6);(201.2, 74.58);(229.34, 90.78);(197.4, 91.98);(230.99, 107.6);(195.44, 108.56);(231.19, 112.61);(195.29, 113.26);(230.08, 112.49);(196.28, 113.03);(229.27, 111.18);(196.89, 111.54);(218.46, 108.55);(205.07, 108.42);(218.1, 134.73);(205.16, 134.51);(219.01, 156.55);(206.94, 155.86);(217.59, 159.3);(208.28, 159.0);(220.61, 164.08);(201.55, 163.86)
1.23;videos/cuts_train/fall01.mp4;walk;(211.06, 59.64);(212.76, 57.2);(213.74, 57.17);(214.57, 57.15);(209.85, 57.26);(208.97, 57.27);(208.12, 57.32);(215.63, 58.14);(207.39, 58.27);(213.04, 62.45);(209.45, 62.64);(223.26, 73.51);(200.83, 74.57);(229.07, 90.41);(197.5, 91.97);(230.63, 107.17);(195.39, 108.67);(230.64, 112.13);(195.23, 113.5);(229.47, 111.97);(196.31, 113.3);(228.64, 110.66);(196.92, 111.74);(218.34, 108.54);(204.94, 108.44);(218.1, 134.72);(205.22, 134.51);(219.12, 156.5);(206.94, 156.56);(217.62, 159.26);(208.21, 159.84);(220.7, 164.05);(201.62, 164.42)
